,Cuestionario:Tema 1 - Parte Básica (Real),Cuestionario:Tema 2 - Parte Básica (Real),Cuestionario:Tema 3 - Parte Básica (Real),Cuestionario:Tema 1 - Parte Avanzada (Real),Cuestionario:Tema 2 - Parte Avanzada (Real),Cuestionario:Tema 3 - Parte Avanzada (Real),comision
139,1.0,2.0,3.0,-,2.0,3.0,datos_anonimizados
140,3.0,0.0,1.5,3.0,-,-,datos_anonimizados
141,-,-,-,-,-,-,datos_anonimizados
142,1.0,1.0,0.67,-,-,-,datos_anonimizados
143,2.5,2.0,2.0,1.0,0.25,0.0,datos_anonimizados
144,-,-,-,-,-,-,datos_anonimizados
145,3.0,3.0,0.33,3.0,2.75,-,datos_anonimizados
146,-,-,-,-,-,-,datos_anonimizados
147,2.5,2.0,1.75,4.0,0.0,-,datos_anonimizados
148,3.0,3.0,3.0,3.0,2.0,3.0,datos_anonimizados
149,-,-,-,-,-,-,datos_anonimizados
150,3.0,3.0,2.0,3.33,2.25,3.0,datos_anonimizados
151,-,-,-,-,-,-,datos_anonimizados
152,-,-,-,-,-,-,datos_anonimizados
153,1.0,0.5,0.0,-,-,-,datos_anonimizados
154,3.0,1.0,0.67,2.42,-,-,datos_anonimizados
155,2.0,3.0,1.83,2.33,0.5,-,datos_anonimizados
156,-,-,-,-,-,-,datos_anonimizados
157,-,-,-,-,-,-,datos_anonimizados
158,2.0,3.0,3.0,3.0,2.25,4.0,datos_anonimizados
159,0.0,0.0,0.75,-,-,-,datos_anonimizados
160,1.0,0.0,2.67,-,-,3.0,datos_anonimizados
161,1.0,-,-,-,-,-,datos_anonimizados
162,3.0,3.0,2.83,1.42,3.0,3.0,datos_anonimizados
163,3.0,2.0,2.5,1.25,2.0,1.0,datos_anonimizados
164,3.0,1.5,3.0,2.0,-,4.0,datos_anonimizados
165,1.0,3.0,3.0,-,2.75,2.5,datos_anonimizados
166,3.0,3.0,1.0,2.0,1.0,-,datos_anonimizados
167,1.0,1.5,1.0,-,-,-,datos_anonimizados
168,2.25,2.0,2.0,0.75,2.0,2.0,datos_anonimizados
169,3.0,1.0,3.0,3.33,-,4.0,datos_anonimizados
170,-,-,-,-,-,-,datos_anonimizados
171,3.0,2.0,3.0,3.0,1.0,4.0,datos_anonimizados
172,2.0,2.1,2.0,3.0,2.0,2.0,datos_anonimizados
173,0.5,2.0,1.75,-,2.5,-,datos_anonimizados
174,-,-,-,-,-,-,datos_anonimizados
175,-,-,-,-,-,-,datos_anonimizados
176,2.75,2.0,2.5,4.0,4.0,3.0,datos_anonimizados
177,-,-,-,-,-,-,datos_anonimizados
178,1.0,2.0,3.0,-,2.0,3.0,datos_anonimizados
179,3.0,0.5,3.0,1.0,-,3.0,datos_anonimizados
180,0.75,1.0,1.0,-,-,-,datos_anonimizados
181,-,-,-,-,-,-,datos_anonimizados
182,-,-,-,-,-,-,datos_anonimizados
183,1.0,2.8,3.0,-,1.0,4.0,datos_anonimizados
184,-,-,-,-,-,-,datos_anonimizados
185,-,-,-,-,-,-,datos_anonimizados
186,0.0,0.0,0.5,-,-,-,datos_anonimizados
187,0.5,2.0,2.0,-,2.25,3.0,datos_anonimizados
188,1.0,1.0,1.75,-,-,-,datos_anonimizados
189,2.0,2.6,3.0,2.67,3.75,4.0,datos_anonimizados
190,0.0,0.0,0.0,-,-,-,datos_anonimizados
191,-,-,-,-,-,-,datos_anonimizados
192,-,-,-,-,-,-,datos_anonimizados
193,3.0,2.0,2.0,1.33,2.75,4.0,datos_anonimizados
194,-,-,-,-,-,-,datos_anonimizados
195,0.5,0.0,2.0,-,-,1.0,datos_anonimizados
196,0.5,0.0,0.17,-,-,-,datos_anonimizados
197,2.0,3.0,3.0,3.75,2.0,1.25,datos_anonimizados
198,-,-,-,-,-,-,datos_anonimizados
199,1.0,2.0,2.0,-,2.0,3.0,datos_anonimizados
200,3.0,2.0,1.33,3.08,2.75,-,datos_anonimizados
201,0.0,1.2,0.17,-,-,-,datos_anonimizados
202,0.0,0.0,0.5,-,-,-,datos_anonimizados
203,2.5,3.0,3.0,4.0,2.25,4.0,datos_anonimizados
204,3.0,3.0,1.0,2.33,2.0,-,datos_anonimizados
205,1.0,3.0,2.0,-,2.0,4.0,datos_anonimizados
206,-,-,-,-,-,-,datos_anonimizados
207,-,-,-,-,-,-,datos_anonimizados
208,1.0,0.0,2.0,-,-,1.0,datos_anonimizados
209,-,-,-,-,-,-,datos_anonimizados
210,-,-,-,-,-,-,datos_anonimizados
211,-,-,-,-,-,-,datos_anonimizados
212,2.0,2.4,3.0,4.0,4.0,3.0,datos_anonimizados
213,-,-,-,-,-,-,datos_anonimizados
214,1.0,0.0,2.0,-,-,0.0,datos_anonimizados
215,-,-,-,-,-,-,datos_anonimizados
216,2.0,2.0,2.5,3.33,2.75,2.0,datos_anonimizados
217,1.0,1.0,1.67,-,-,-,datos_anonimizados
218,2.0,3.0,2.0,2.75,2.0,3.0,datos_anonimizados
219,1.0,3.0,3.0,-,1.5,3.0,datos_anonimizados
220,1.0,2.8,1.83,-,1.5,-,datos_anonimizados
221,1.0,2.0,3.0,-,2.0,3.0,datos_anonimizados
222,1.0,1.0,3.0,-,-,0.0,datos_anonimizados
223,2.0,0.0,3.0,1.5,-,2.0,datos_anonimizados
224,2.0,2.0,0.33,3.0,2.0,-,datos_anonimizados
225,0.0,1.0,3.0,-,-,2.75,datos_anonimizados
226,3.0,3.0,3.0,4.0,3.25,4.0,datos_anonimizados
227,2.75,3.0,0.33,2.5,1.25,-,datos_anonimizados
228,-,-,-,-,-,-,datos_anonimizados
229,3.0,3.0,2.0,3.33,0.0,4.0,datos_anonimizados
230,-,-,-,-,-,-,datos_anonimizados
231,0.0,2.0,0.83,-,0.75,-,datos_anonimizados
232,-,-,-,-,-,-,datos_anonimizados
233,0.0,1.0,2.0,-,-,2.0,datos_anonimizados
234,2.0,3.0,2.0,2.0,1.75,4.0,datos_anonimizados
235,-,-,-,-,-,-,datos_anonimizados
236,1.0,1.0,3.0,-,-,2.0,datos_anonimizados
237,3.0,2.6,3.0,2.0,3.75,4.0,datos_anonimizados
238,-,-,-,-,-,-,datos_anonimizados
239,0.0,0.5,0.67,-,-,-,datos_anonimizados
240,2.0,2.6,3.0,2.67,1.75,4.0,datos_anonimizados
241,0.0,0.0,0.0,-,-,-,datos_anonimizados
242,3.0,3.0,3.0,4.0,3.25,4.0,datos_anonimizados
243,-,-,-,-,-,-,datos_anonimizados
244,0.75,1.0,2.0,-,-,4.0,datos_anonimizados
245,-,-,-,-,-,-,datos_anonimizados
246,0.0,-,-,-,-,-,datos_anonimizados
247,-,-,-,-,-,-,datos_anonimizados
248,1.5,3.0,3.0,-,4.0,3.0,datos_anonimizados
249,-,-,-,-,-,-,datos_anonimizados
